Gene_stable_ID	Gene_description	Gene_name
AAEL006988	Transcription initiation factor TFIID subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FF60]	""
AAEL011486	""	""
AAEL002951	forkhead protein/ forkhead protein domain [Source:VB Community Annotation]	""
AAEL025129	""	""
AAEL003337	""	""
AAEL005682	protein serine/threonine kinase, putative [Source:VB Community Annotation]	""
AAEL010716	preprotein translocase secy subunit (sec61) [Source:VB Community Annotation]	""
AAEL005674	""	""
AAEL027623	""	""
AAEL028034	""	""
AAEL001060	""	""
AAEL008148	8-oxoguanine DNA glycosylase [Source:VB Community Annotation]	""
AAEL019526	""	""
AAEL027805	""	""
AAEL022546	""	""
AAEL026095	""	""
AAEL010944	""	""
AAEL005342	""	""
AAEL013869	RNA-binding protein [Source:VB Community Annotation]	""
AAEL019547	""	""
AAEL014354	Clip-Domain Serine Protease family B. [Source:VB Community Annotation]	CLIPB43
AAEL026429	""	""
AAEL024646	""	""
AAEL018177	""	""
AAEL021958	""	""
AAEL026022	""	""
AAEL026590	""	""
AAEL009526	""	""
AAEL023249	""	""
AAEL026780	""	""
AAEL001540	ubiquitin specific protease [Source:VB Community Annotation]	""
AAEL010064	""	""
AAEL018305	""	""
AAEL001635	""	""
AAEL018267	""	""
AAEL020491	""	""
AAEL024154	""	""
AAEL025965	""	""
AAEL028192	""	""
AAEL008421	cadherin [Source:VB Community Annotation]	""
AAEL009682	serine collagenase 1 precursor, putative [Source:VB Community Annotation]	""
AAEL013377	""	""
AAEL026071	""	""
AAEL008267	GPCR Neurokinin/Tachykinin Family [Source:VB Community Annotation]	GPRNPR5
AAEL010404	""	""
AAEL021682	""	""
AAEL001321	Transcription factor dp [Source:UniProtKB/TrEMBL;Acc:A0A1S4EYF0]	""
AAEL015002	aldo-keto reductase [Source:VB Community Annotation]	""
AAEL022329	""	""
AAEL027461	""	""
AAEL006056	nuclear protein localization [Source:VB Community Annotation]	""
AAEL027030	""	""
AAEL012126	F-box/lrr protein, drome [Source:VB Community Annotation]	""
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]	""
AAEL019503	""	""
AAEL019592	""	""
AAEL026690	""	""
AAEL010602	starch branching enzyme ii [Source:VB Community Annotation]	""
AAEL003491	proline synthetase associated protein [Source:VB Community Annotation]	""
AAEL003425	""	""
AAEL010078	""	""
AAEL024711	""	""
AAEL004457	cytochrome c [Source:VB Community Annotation]	""
AAEL022834	""	""
AAEL004741	aquaporin transporter [Source:VB Community Annotation]	""
AAEL024093	""	""
AAEL027365	""	""
AAEL024830	""	""
AAEL003970	amino acid transporter [Source:VB Community Annotation]	""
AAEL010047	""	""
AAEL022450	""	""
AAEL015236	signal recognition particle, 9kD-subunit, putative [Source:VB Community Annotation]	""
AAEL006319	""	""
AAEL027336	""	""
AAEL001690	serine-type enodpeptidase [Source:VB Community Annotation]	""
AAEL025326	""	""
AAEL020505	""	""
AAEL002988	""	""
AAEL012008	cyclophilin [Source:VB Community Annotation]	""
AAEL023411	""	""
AAEL028086	""	""
AAEL025446	""	""
AAEL013565	""	""
AAEL000762	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]	LRIM19
AAEL003201	Carboxy/choline esterase Alpha Esterase [Source:VB Community Annotation]	CCEAE5C
AAEL001691	adenylate cyclase [Source:VB Community Annotation]	""
AAEL005152	""	""
AAEL027988	""	""
AAEL026860	""	""
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]	""
AAEL022906	""	""
AAEL011173	""	""
AAEL000164	d-amino acid oxidase [Source:VB Community Annotation]	""
AAEL011084	""	""
AAEL002671	""	""
AAEL022844	""	""
AAEL024627	""	""
AAEL004668	Septin [Source:UniProtKB/TrEMBL;Acc:A0A1S4F8E6]	""
AAEL023738	""	""
AAEL013420	odorant receptor [Source:VB Community Annotation]	Or79
AAEL005032	""	""
AAEL027265	""	""
AAEL026543	""	""
AAEL010339	""	""
AAEL013011	""	""
AAEL024909	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	""
AAEL002152	kinesin-associated proteins [Source:VB Community Annotation]	""
AAEL008788	es2 protein [Source:VB Community Annotation]	""
AAEL027096	""	""
AAEL015051	glycoside  hydrolases [Source:VB Community Annotation]	""
AAEL023658	""	""
AAEL024946	""	""
AAEL027231	""	""
AAEL014453	""	""
AAEL003449	structural maintenance of chromosomes 2 smc2 [Source:VB Community Annotation]	""
AAEL009667	""	""
AAEL018117	""	""
AAEL018247	""	""
AAEL017120	""	""
AAEL011213	""	""
AAEL010059	bacterial-type ABC transport ATP-binding subunit? or RNAse l inhibitor [Source:VB Community Annotation]	""
AAEL002436	""	""
AAEL007018	udp-glucose 4-epimerase [Source:VB Community Annotation]	""
AAEL026293	""	""
AAEL010011	""	""
AAEL008793	""	""
AAEL023283	""	""
AAEL007771	60S ribosomal protein L22 [Source:UniProtKB/TrEMBL;Acc:Q1HRP2]	RpL22
AAEL024488	""	""
AAEL006650	potassium channel beta [Source:VB Community Annotation]	""
AAEL021490	""	""
AAEL024475	""	""
AAEL008006	3-hydroxyacyl-coa dehyrogenase [Source:VB Community Annotation]	""
AAEL020265	""	""
AAEL019831	""	""
AAEL009132	cytochrome P450 [Source:VB Community Annotation]	CYP6Y3
AAEL009423	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]	SCRBQ2
AAEL020908	""	""
AAEL004195	membrane associated progesterone receptor [Source:VB Community Annotation]	""
AAEL025106	""	""
AAEL004814	potassium-dependent sodium-calcium exchanger, putative [Source:VB Community Annotation]	""
AAEL002107	sulfide quinone reductase [Source:VB Community Annotation]	""
AAEL025067	""	""
AAEL004147	tetraspanin, putative [Source:VB Community Annotation]	""
AAEL002574	sodium/solute symporter [Source:VB Community Annotation]	""
AAEL013059	""	""
AAEL027729	""	""
AAEL019765	""	""
AAEL027799	""	""
AAEL011557	metalloproteinase, putative [Source:VB Community Annotation]	""
AAEL003738	""	""
AAEL003217	dynein light chain [Source:VB Community Annotation]	""
AAEL023274	""	""
AAEL025648	""	""
AAEL012218	mitochondria associated granulocyte macrophage csf signaling molecule [Source:VB Community Annotation]	""
AAEL008686	""	""
AAEL011653	thyroid hormone receptor interactor [Source:VB Community Annotation]	""
AAEL006755	""	""
AAEL019845	""	""
AAEL010496	""	""
AAEL027891	""	""
AAEL007914	discs large protein [Source:VB Community Annotation]	""
AAEL013327	""	""
AAEL004448	torsin a [Source:VB Community Annotation]	""
AAEL023493	""	""
AAEL024833	""	""
AAEL006413	ubiquitin-conjugating enzyme morgue [Source:VB Community Annotation]	""
AAEL006537	""	""
AAEL000020	""	""
AAEL011837	cAMP-dependent protein kinase catalytic subunit [Source:VB Community Annotation]	""
AAEL004479	organic cation transporter [Source:VB Community Annotation]	""
AAEL012990	mrg-binding protein [Source:VB Community Annotation]	""
AAEL023980	""	""
AAEL000324	tyrosine-protein kinase drl [Source:VB Community Annotation]	""
AAEL027364	""	""
AAEL010176	""	""
AAEL024575	""	""
AAEL007495	phosphoglycerate mutase [Source:VB Community Annotation]	""
AAEL007948	glutathione transferase [Source:VB Community Annotation]	GSTE7
AAEL020482	""	""
AAEL027216	""	""
AAEL026035	""	""
AAEL005863	""	""
AAEL019771	""	""
AAEL018314	""	""
AAEL020005	""	""
AAEL005960	""	""
AAEL008593	NAD dependent epimerase/dehydratase [Source:VB Community Annotation]	""
AAEL017098	""	""
AAEL021242	""	""
AAEL003776	""	""
AAEL009551	Toll-like receptor [Source:VB Community Annotation]	TOLL11
AAEL024996	""	""
AAEL009133	cytochrome P450 [Source:VB Community Annotation]	CYP6N14
AAEL015136	Niemann-Pick Type C-2, putative [Source:VB Community Annotation]	""
AAEL028007	""	""
AAEL025913	""	""
AAEL006027	lipase [Source:VB Community Annotation]	""
AAEL027528	""	""
AAEL027111	""	""
AAEL013563	odorant receptor (Or122) [Source:VB Community Annotation]	Or122
AAEL025781	""	""
AAEL007391	""	""
AAEL007313	""	""
AAEL000377	""	""
AAEL014895	M protein type, putative [Source:VB Community Annotation]	""
AAEL024252	""	""
AAEL024965	""	""
AAEL019470	""	""
AAEL020502	""	""
AAEL005216	""	""
AAEL023947	""	""
AAEL010768	""	""
AAEL008184	""	""
AAEL013222	""	""
AAEL024251	Insulin-like peptide 7 [Source:UniProtKB/TrEMBL;Acc:A0EZS2]	""
AAEL014578	ssm4 protein [Source:VB Community Annotation]	""
AAEL027481	""	""
AAEL025299	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	""
AAEL009647	""	""
AAEL025701	""	""
AAEL011491	odorant binding protein OBP52 [Source:VB Community Annotation]	OBP52
AAEL020280	""	""
AAEL023567	""	""
AAEL026427	""	""
AAEL000227	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]	SCRB8
AAEL010592	esterase, putative [Source:VB Community Annotation]	""
AAEL011133	""	""
AAEL022789	Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q173V2]	""
AAEL019955	""	""
AAEL022209	""	""
AAEL024723	""	""
AAEL014880	""	""
AAEL002777	""	""
AAEL025184	""	""
AAEL026074	""	""
AAEL008193	""	""
AAEL004107	nucleoside diphosphate kinase, putative [Source:VB Community Annotation]	""
AAEL023188	""	""
AAEL021402	""	""
AAEL007970	""	""
AAEL008638	cytochrome P450 [Source:VB Community Annotation]	CYP49A1
AAEL003841	defensin anti-microbial peptide [Source:VB Community Annotation]	DEFA
AAEL025368	""	""
AAEL009650	""	""
AAEL004902	ras-related protein Rab-2A, putative [Source:VB Community Annotation]	""
AAEL004492	cyclin-dependent kinases regulatory subunit. putative [Source:VB Community Annotation]	""
AAEL022748	""	""
AAEL010343	aryl hydrocarbon receptor nuclear translocator (arnt protein) (hypoxia-inducible factor 1 beta) [Source:VB Community Annotation]	""
AAEL027813	""	""
AAEL026248	""	""
AAEL010390	glucosyl/glucuronosyl transferases [Source:VB Community Annotation]	""
AAEL023433	""	""
AAEL009894	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]	LRIM21
AAEL021568	""	""
AAEL002458	pupal cuticle protein, putative [Source:VB Community Annotation]	""
AAEL008921	myosin regulatory light chain 2 smooth muscle [Source:VB Community Annotation]	""
AAEL008786	caax prenyl protease ste24 [Source:VB Community Annotation]	""
AAEL004161	""	""
AAEL022973	""	""
AAEL026128	""	""
AAEL007832	GPCR Muscarinic Acetylcholine Family [Source:VB Community Annotation]	GPRMAC2
AAEL027324	""	""
AAEL026322	""	""
AAEL013600	integrin alpha-ps [Source:VB Community Annotation]	""
AAEL010461	""	""
AAEL008098	PIWI [Source:VB Community Annotation]	PIWI2
AAEL018308	""	""
AAEL019553	""	""
AAEL019589	""	""
AAEL017467	""	""
AAEL013251	Protein quiver [Source:UniProtKB/TrEMBL;Acc:A0A1S4FYE1]	""
AAEL027806	""	""
AAEL003079	glucosyl/glucuronosyl transferases [Source:VB Community Annotation]	""
AAEL012387	""	""
AAEL003647	GPCR Neurokinin/Tachykinin Family [Source:VB Community Annotation]	GPRNPR3
AAEL023141	""	""
AAEL021352	""	""
AAEL027653	""	""
AAEL025385	""	""
AAEL023263	""	""
AAEL006782	histone-arginine methyltransferase CARMER [Source:VB Community Annotation]	Carm1
AAEL024783	Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q173V2]	""
AAEL003528	cdc73 domain protein [Source:VB Community Annotation]	""
AAEL020471	""	""
AAEL024315	""	""
AAEL027050	Putative 52k active chromatin boundary protein [Source:UniProtKB/TrEMBL;Acc:A0A0P6IYK3]	""
AAEL013458	glutamine synthetase 1, 2 (glutamate-amonia ligase) (gs) [Source:VB Community Annotation]	""
AAEL021983	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	""
AAEL014393	Lactoylglutathione lyase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G1K4]	""
AAEL005315	""	""
AAEL010582	glutathione transferase [Source:VB Community Annotation]	GSTD11
AAEL021339	""	""
AAEL002827	ATP synthase beta subunit [Source:VB Community Annotation]	""
AAEL009841	""	""
AAEL005478	flavohemoprotein B5/b5r [Source:VB Community Annotation]	""
AAEL017246	odorant receptor - partial [Source:VB Community Annotation]	Or86
AAEL021674	""	""
AAEL013404	tetraspanin, putative [Source:VB Community Annotation]	""
AAEL015557	alpha methylacyl-coa racemase [Source:VB Community Annotation]	""
AAEL022162	""	""
AAEL022302	""	""
AAEL028002	""	""
AAEL002771	microtubule binding protein, putative [Source:VB Community Annotation]	""
AAEL017167	GPCR HE6-like Family [Source:VB Community Annotation]	GPRHE6
AAEL012515	Tumor suppressor protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1S4FWC1]	""
AAEL008435	""	""
AAEL000216	elongase, putative [Source:VB Community Annotation]	""
AAEL003766	""	""
AAEL012455	Alcohol dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1S4FWB3]	""
AAEL021510	""	""
AAEL000803	""	""
AAEL000252	""	""
AAEL013305	bifunctional dihydrofolate reductase-thymidylate synthase [Source:VB Community Annotation]	""
AAEL002242	""	""
AAEL022201	Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q16N56]	""
AAEL023651	""	""
AAEL008234	dishevelled [Source:VB Community Annotation]	""
AAEL022900	""	""
AAEL021493	""	""
AAEL026609	""	""
AAEL001124	""	""
AAEL027197	""	""
AAEL013407	Catalase [Source:UniProtKB/TrEMBL;Acc:Q16J86]	Cat
AAEL024101	""	""
AAEL006642	Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:Q1HR53]	""
AAEL004309	""	""
AAEL002775	""	""
AAEL003336	tRNA-splicing ligase RtcB homolog [Source:UniProtKB/Swiss-Prot;Acc:Q17FP1]	""
AAEL024799	""	""
AAEL004010	splicing factor, putative [Source:VB Community Annotation]	""
AAEL008080	trypsin-eta, putative [Source:VB Community Annotation]	""
AAEL012457	alcohol dehydrogenase [Source:VB Community Annotation]	""
AAEL026990	""	""
AAEL010076	""	""
AAEL013752	Rfx5 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G0A6]	""
AAEL009908	glutamyl-tRNA(Gln) amidotransferase, subunit-B, putative [Source:VB Community Annotation]	""
AAEL025563	""	""
AAEL025638	""	""
AAEL001960	cytochrome P450 [Source:VB Community Annotation]	""
AAEL010120	chondroitin 4-sulfotransferase [Source:VB Community Annotation]	""
AAEL021935	""	""
AAEL006641	""	""
AAEL028130	""	""
AAEL020720	""	""
AAEL019408	2-Cys thioredoxin peroxidase [Source:UniProtKB/TrEMBL;Acc:Q8WSF6]	""
AAEL013198	ionotropic glutamate receptor-invertebrate [Source:VB Community Annotation]	""
AAEL008759	""	""
AAEL027488	""	""
AAEL000399	""	""
AAEL015140	""	""
AAEL006075	WD-repeat protein [Source:VB Community Annotation]	""
AAEL001860	""	""
AAEL012651	""	""
AAEL026417	""	""
AAEL025147	""	""
AAEL009147	""	""
AAEL004306	39S ribosomal protein L19, mitochondrial precursor [Source:UniProtKB/TrEMBL;Acc:Q17D59]	mRpL19
AAEL022914	""	""
AAEL022837	""	""
AAEL006445	Phosphatidylinositol-glycan biosynthesis class W protein [Source:UniProtKB/TrEMBL;Acc:Q176D1]	""
AAEL001407	cdk4/6 [Source:VB Community Annotation]	""
AAEL006687	exportin [Source:VB Community Annotation]	""
AAEL023693	""	""
AAEL012038	""	""
AAEL013205	rad25/xp-b DNA repair helicase [Source:VB Community Annotation]	""
AAEL025705	""	""
AAEL024567	""	""
AAEL023813	""	""
AAEL022310	""	""
AAEL024441	""	""
AAEL022672	""	""
AAEL001281	""	""
AAEL017548	odorant receptor - partial [Source:VB Community Annotation]	Or6
AAEL000835	""	""
AAEL000910	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q17MZ2]	""
AAEL020861	""	""
AAEL022653	""	""
AAEL014495	""	""
AAEL010264	""	""
AAEL012764	""	""
AAEL024743	""	""
AAEL021170	""	""
AAEL025831	""	""
AAEL011979	calmodulin [Source:VB Community Annotation]	""
AAEL005408	annexin x [Source:VB Community Annotation]	""
AAEL020953	""	""
AAEL010395	beat protein [Source:VB Community Annotation]	""
AAEL026496	""	""
AAEL022660	""	""
AAEL006919	serine-type enodpeptidase, [Source:VB Community Annotation]	""
AAEL005577	""	""
AAEL004736	""	""
AAEL004446	""	""
AAEL006601	50-kda dystrophin-associated glycoprotein, putative [Source:VB Community Annotation]	""
AAEL008061	phosphatidylinositolglycan class N, putative [Source:VB Community Annotation]	""
AAEL011007	fibrinogen and fibronectin [Source:VB Community Annotation]	""
AAEL004105	neuroglobin, putative [Source:VB Community Annotation]	""
AAEL025989	""	""
AAEL025316	""	""
AAEL019909	""	""
AAEL002416	short-chain dehydrogenase [Source:VB Community Annotation]	""
AAEL001356	RNA-binding protein [Source:VB Community Annotation]	""
AAEL027608	""	""
AAEL020462	""	""
AAEL027626	""	""
AAEL013979	""	""
AAEL026583	""	""
AAEL000899	glycosyltransferase [Source:VB Community Annotation]	""
AAEL020951	""	""
AAEL023743	""	""
AAEL004533	GPCR Metabotropic glutamate Family [Source:VB Community Annotation]	GPRMGL2
AAEL025764	""	""
AAEL003634	Hsp70-interacting protein, putative [Source:VB Community Annotation]	""
AAEL027320	""	""
AAEL023309	""	""
AAEL020103	""	""
AAEL026837	""	""
AAEL006830	yellow protein precursor [Source:VB Community Annotation]	""
AAEL025495	""	""
AAEL027191	""	""
AAEL013257	""	""
AAEL026096	""	""
AAEL023034	""	""
AAEL001562	""	""
AAEL023762	""	""
AAEL009512	glycosylphosphatidylinositol anchor attachment protein, putative [Source:VB Community Annotation]	""
AAEL008206	serine-type enodpeptidase, [Source:VB Community Annotation]	""
AAEL021305	""	""
AAEL000244	alpha(1,3)fucosyltransferase [Source:VB Community Annotation]	""
AAEL010858	AMP dependent ligase [Source:VB Community Annotation]	""
AAEL011578	serine/threonine protein kinase [Source:VB Community Annotation]	""
AAEL024614	""	""
AAEL005786	""	""
AAEL028162	""	""
AAEL009725	""	""
AAEL010590	aldose-1-epimerase [Source:VB Community Annotation]	""
AAEL010822	sulphate transporter [Source:VB Community Annotation]	""
AAEL002569	serine/threonine kinase [Source:VB Community Annotation]	""
AAEL008285	pupal cuticle protein, putative [Source:VB Community Annotation]	""
AAEL012178	""	""
AAEL024195	""	""
AAEL010480	serine-pyruvate aminotransferase [Source:VB Community Annotation]	""
AAEL024619	""	""
AAEL005492	protein-tyrosine phosphatase n9 [Source:VB Community Annotation]	""
AAEL002805	""	""
AAEL020231	""	""
AAEL020875	""	""
AAEL025773	""	""
AAEL006430	trypsin [Source:VB Community Annotation]	""
AAEL027345	""	""
AAEL020919	""	""
AAEL019515	""	""
AAEL006890	""	""
AAEL014605	cytochrome P450 [Source:VB Community Annotation]	CYP9J9
AAEL010138	""	""
AAEL000092	glutathione transferase [Source:VB Community Annotation]	GSTX1
AAEL022400	""	""
AAEL024253	""	""
AAEL002804	oligosaccharyl transferase [Source:VB Community Annotation]	""
AAEL022827	""	""
AAEL022237	""	""
AAEL023933	""	""
AAEL022142	""	""
AAEL003136	copper chaperone Atox1, putative [Source:VB Community Annotation]	""
AAEL024431	""	""
AAEL000911	""	""
AAEL023056	""	""
AAEL006071	""	""
AAEL004989	RNA-binding protein [Source:VB Community Annotation]	""
AAEL023529	""	""
AAEL006439	testis/ seletal muscle  dual specificty phosphatase [Source:VB Community Annotation]	""
AAEL009476	""	""
AAEL010664	actin binding protein, putative [Source:VB Community Annotation]	""
AAEL010826	Histone-lysine n-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4FRI5]	""
AAEL005208	""	""
AAEL000260	""	""
AAEL007039	peptidoglycan recognition protein (short) [Source:VB Community Annotation]	""
AAEL024815	""	""
AAEL025150	""	""
AAEL027144	""	""
AAEL024908	""	""
AAEL024136	""	""
AAEL026267	""	""
AAEL027560	""	""
AAEL013539	SH2/SH3 adaptor protein [Source:VB Community Annotation]	""
AAEL004030	""	""
AAEL022567	""	""
AAEL000569	omega-crystallin, putative [Source:VB Community Annotation]	""
AAEL017976	heat shock protein HSP70 [Source:VB Community Annotation]	HSP70Bb
AAEL019787	CCAP receptor [Source:UniProtKB/TrEMBL;Acc:A0A411JKD0]	""
AAEL008031	carbonic anhydrase [Source:VB Community Annotation]	""
AAEL014757	""	""
AAEL000492	Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q16N56]	""
AAEL014554	""	""
AAEL004297	ATP-citrate synthase [Source:VB Community Annotation]	""
AAEL000579	""	""
AAEL021916	""	""
AAEL028031	""	""
AAEL027006	""	""
AAEL008211	mitochondrial carrier protein [Source:VB Community Annotation]	""
AAEL026903	""	""
AAEL008722	""	""
AAEL001682	nuclear movement protein nudc [Source:VB Community Annotation]	""
AAEL006002	""	""
AAEL008708	lysosomal pro-X carboxypeptidase, putative [Source:VB Community Annotation]	""
AAEL020191	""	""
AAEL005073	""	""
AAEL021276	""	""
AAEL024963	""	""
AAEL025718	""	""
AAEL005910	programmed cell death protein [Source:VB Community Annotation]	""
AAEL004517	Protein quiver [Source:UniProtKB/TrEMBL;Acc:Q17CL1]	""
AAEL026060	""	""
AAEL009190	""	""
AAEL001358	""	""
AAEL028164	""	""
AAEL026297	""	""
AAEL008186	""	""
AAEL005140	""	""
AAEL024372	""	""
AAEL027858	""	""
AAEL022362	Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q16N56]	""
AAEL023082	""	""
AAEL004402	alpha-l-iduronidase [Source:VB Community Annotation]	""
AAEL020418	""	""
AAEL011538	""	""
AAEL020869	""	""
AAEL025612	""	""
AAEL027367	""	""
AAEL010777	thioredoxin (TRX), putative [Source:VB Community Annotation]	""
AAEL024670	""	""
AAEL006711	""	""
AAEL005617	UTP-glucose-1-phosphate uridylyltransferase 2 [Source:VB Community Annotation]	""
AAEL001796	Nuclear hormone receptor (HR78) [Source:VB Community Annotation]	""
AAEL011343	""	""
AAEL007432	serine collagenase 1 precursor, putative [Source:VB Community Annotation]	""
AAEL021369	""	""
AAEL021434	""	""
AAEL023015	""	""
AAEL021034	""	""
AAEL008867	""	""
AAEL009088	liquid facets [Source:VB Community Annotation]	""
AAEL023391	""	""
AAEL006129	Deoxyhypusine hydroxylase [Source:UniProtKB/TrEMBL;Acc:Q177G8]	""
AAEL025994	""	""
AAEL025104	Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q16N56]	""
AAEL004728	5-methyltetrahydrofolate:homocysteine methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q17C46]	""
AAEL001188	""	""
AAEL001332	""	""
AAEL008180	""	""
AAEL019466	Mothers against decapentaplegic homolog [Source:UniProtKB/TrEMBL;Acc:A0A1S4FAT3]	""
AAEL027210	""	""
AAEL004857	""	""
AAEL000582	pickpocket 301 [Source:VB Community Annotation]	ppk301
AAEL017297	cytochrome P450 [Source:VB Community Annotation]	CYP6M9
AAEL006560	cop-coated vesicle membrane protein P24 [Source:VB Community Annotation]	""
AAEL020880	""	""
AAEL006774	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q174U8]	""
AAEL020064	""	""
AAEL007085	adult cuticle protein, putative [Source:VB Community Annotation]	""
AAEL006107	mitotic and DNA damage checkpoint protein hus1 [Source:VB Community Annotation]	""
AAEL010572	late endosomal/lysosomal MP1 interacting protein, putative [Source:VB Community Annotation]	""
AAEL022960	""	""
AAEL002684	dachshund, [Source:VB Community Annotation]	""
AAEL024541	""	""
AAEL020340	""	""
AAEL027372	""	""
AAEL017356	""	""
AAEL000846	""	""
AAEL024768	""	""
AAEL025971	""	""
AAEL025230	""	""
AAEL014311	tetraspanin, putative [Source:VB Community Annotation]	""
AAEL003535	""	""
AAEL024662	""	""
AAEL027706	""	""
AAEL022516	""	""
AAEL022719	""	""
AAEL002450	""	""
AAEL022235	""	""
AAEL025805	""	""
AAEL026087	37 kDa salivary gland allergen Aed a 2 [Source:UniProtKB/Swiss-Prot;Acc:P18153]	D7
AAEL003871	26S proteasome alpha 7 subunit [Source:VB Community Annotation]	Prosalpha7
AAEL019507	""	""
AAEL000199	arginyl-tRNA synthetase [Source:VB Community Annotation]	""
AAEL021089	""	""
AAEL001901	MRAS2, putative [Source:VB Community Annotation]	""
AAEL022194	""	""
AAEL025164	""	""
AAEL021047	""	""
AAEL025793	""	""
AAEL025604	""	""
AAEL023156	""	""
AAEL028200	""	""
AAEL025119	""	""
AAEL019950	""	""
AAEL021430	""	""
AAEL027714	""	""
AAEL025060	""	""
AAEL010018	""	""
AAEL011857	serine/threonine-protein kinase rio1 (rio kinase 1) [Source:VB Community Annotation]	""
AAEL003246	deoxyribose-phosphate aldolase [Source:VB Community Annotation]	""
AAEL020225	""	""
AAEL020877	""	""
AAEL020602	""	""
AAEL001707	epsilon-trimethyllysine 2-oxoglutarate dioxygenase [Source:VB Community Annotation]	""
AAEL020323	""	""
AAEL022688	""	""
AAEL006606	""	""
AAEL018059	""	""
AAEL022158	""	""
AAEL017366	""	""
AAEL021050	""	""
AAEL003431	proteasome subunit beta type 7,10 [Source:VB Community Annotation]	""
AAEL005481	alpha-glucosidase [Source:VB Community Annotation]	""
AAEL027339	""	""
AAEL027384	""	""
AAEL012916	""	""
AAEL004860	acireductone dioxygenase [Source:VB Community Annotation]	""
AAEL020738	""	""
AAEL020905	""	""
AAEL024276	""	""
AAEL010048	26S proteasome non-ATPase regulatory subunit [Source:VB Community Annotation]	""
AAEL007936	""	""
AAEL026885	""	""
AAEL002943	che-11 [Source:VB Community Annotation]	""
AAEL006708	hedgehog [Source:VB Community Annotation]	""
AAEL020485	Signal peptidase complex catalytic subunit SEC11 [Source:UniProtKB/TrEMBL;Acc:Q1HRM6]	""
AAEL015111	""	""
AAEL023690	""	""
AAEL011389	""	""
