GeneID	TranscriptID	GeneDescription	GeneName
AFUN000230	AFUN000230-RA	Small ubiquitin-related modifier [Source:UniProtKB/TrEMBL;Acc:A0A182R241]	
AFUN000231	AFUN000231-RA	gamma-glutamyltranspeptidase [Source:Projected from Anopheles gambiae (AGAP000853) VB Community Annotation]	
AFUN000231	AFUN000231-RB	gamma-glutamyltranspeptidase [Source:Projected from Anopheles gambiae (AGAP000853) VB Community Annotation]	
AFUN000232	AFUN000232-RA	G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R243]	
AFUN000233	AFUN000233-RA	unspecified product	
AFUN000234	AFUN000234-RA	tRNA-dihydrouridine synthase [Source:Projected from Anopheles gambiae (AGAP000856) VB Community Annotation]	
AFUN000235	AFUN000235-RA	39S ribosomal protein L3, mitochondrial	mRpL3
AFUN000236	AFUN000236-RA	unspecified product	
AFUN000237	AFUN000237-RA	Fascin [Source:UniProtKB/TrEMBL;Acc:A0A182R248]	
AFUN000237	AFUN000237-RB	Fascin [Source:UniProtKB/TrEMBL;Acc:A0A182R248]	
AFUN000238	AFUN000238-RA	Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R249]	
AFUN000239	AFUN000239-RA	unspecified product	
AFUN000240	AFUN000240-RA	Protein tweety homolog [Source:UniProtKB/TrEMBL;Acc:A0A182R251]	
AFUN000241	AFUN000241-RA	unspecified product	
AFUN000242	AFUN000242-RA	alpha 1,3-glucosidase [Source:Projected from Anopheles gambiae (AGAP000862) VB Community Annotation]	
AFUN000243	AFUN000243-RA	lachesin [Source:Projected from Anopheles gambiae (AGAP000863) VB Community Annotation]	
AFUN000244	AFUN000244-RA	PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R255]	
AFUN000247	AFUN000247-RA	unspecified product	
AFUN000248	AFUN000248-RA	beta-1,4-mannosyltransferase egghead protein [Source:Projected from Anopheles gambiae (AGAP000868) VB Community Annotation]	
AFUN000248	AFUN000248-RB	beta-1,4-mannosyltransferase egghead protein [Source:Projected from Anopheles gambiae (AGAP000868) VB Community Annotation]	
AFUN000248	AFUN000248-RC	beta-1,4-mannosyltransferase egghead protein [Source:Projected from Anopheles gambiae (AGAP000868) VB Community Annotation]	
AFUN000249	AFUN000249-RA	unspecified product	
AFUN000251	AFUN000251-RA	unspecified product	
AFUN000252	AFUN000252-RA	unspecified product	
AFUN000257	AFUN000257-RA	unspecified product	
AFUN000258	AFUN000258-RA	solute carrier family [Source:Projected from Anopheles gambiae (AGAP000253) VB Community Annotation]	
AFUN000259	AFUN000259-RA	oligopeptidase A [Source:Projected from Anopheles gambiae (AGAP000252) VB Community Annotation]	
AFUN000260	AFUN000260-RA	UDENN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R271]	
AFUN000261	AFUN000261-RA	STAGA complex 65 subunit gamma [Source:Projected from Anopheles gambiae (AGAP000250) VB Community Annotation]	
AFUN000262	AFUN000262-RA	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [Source:Projected from Anopheles gambiae (AGAP000249) VB Community Annotation]	
AFUN000263	AFUN000263-RA	unspecified product	
AFUN000265	AFUN000265-RA	unspecified product	
AFUN000266	AFUN000266-RA	Rhophilin-2 [Source:Projected from Anopheles gambiae (AGAP000243) VB Community Annotation]	
AFUN000266	AFUN000266-RB	Rhophilin-2 [Source:Projected from Anopheles gambiae (AGAP000243) VB Community Annotation]	
AFUN000267	AFUN000267-RA	unspecified product	
AFUN000268	AFUN000268-RA	SCP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R278]	
AFUN000269	AFUN000269-RA	E3 ubiquitin-protein ligase ZNRF1/2 [Source:Projected from Anopheles gambiae (AGAP000357) VB Community Annotation]	
AFUN000270	AFUN000270-RA	unspecified product	
AFUN000271	AFUN000271-RA	Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R281]	
AFUN000273	AFUN000273-RA	unspecified product	
AFUN000277	AFUN000277-RA	pebble [Source:Projected from Anopheles gambiae (AGAP005796) VB Community Annotation]	
AFUN000278	AFUN000278-RA	unspecified product	
AFUN000279	AFUN000279-RA	unspecified product	
AFUN000282	AFUN000282-RA	DNA replication licensing factor MCM7 [Source:UniProtKB/TrEMBL;Acc:A0A182R292]	
AFUN000283	AFUN000283-RA	unspecified product	
AFUN000284	AFUN000284-RA	60S ribosomal protein L8	RpL8
AFUN000287	AFUN000287-RA	unspecified product	
AFUN000288	AFUN000288-RA	unspecified product	
AFUN000289	AFUN000289-RA	unspecified product	
AFUN000294	AFUN000294-RA	protein phosphatase inhibitor [Source:Projected from Anopheles gambiae (AGAP005809) VB Community Annotation]	
AFUN000296	AFUN000296-RA	unspecified product	
AFUN000297	AFUN000297-RA	FeS cluster assembly scaffold IscU [Source:Projected from Anopheles gambiae (AGAP005813) VB Community Annotation]	
AFUN000298	AFUN000298-RA	ecdysoneless homolog [Source:Projected from Anopheles gambiae (AGAP005814) VB Community Annotation]	
AFUN000301	AFUN000301-RA	unspecified product	
AFUN000302	AFUN000302-RA	beta-adrenergic-receptor kinase [Source:Projected from Anopheles gambiae (AGAP012026) VB Community Annotation]	
AFUN000303	AFUN000303-RA	RGS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R2B3]	
AFUN000304	AFUN000304-RA	RGS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R2B4]	
AFUN000305	AFUN000305-RA	U2-associated protein SR140 [Source:Projected from Anopheles gambiae (AGAP005006) VB Community Annotation]	
AFUN000306	AFUN000306-RA	kelch domain containing [Source:Projected from Anopheles gambiae (AGAP005007) VB Community Annotation]	
AFUN000309	AFUN000309-RA	Pyrroline-5-carboxylate reductase [Source:UniProtKB/TrEMBL;Acc:A0A182R2B9]	
AFUN000319	AFUN000319-RA	CLIP-domain serine protease [Source:Projected from Anopheles gambiae (AGAP002270) VB Community Annotation]	
AFUN000320	AFUN000320-RA	unspecified product	
AFUN000321	AFUN000321-RA	unspecified product	
AFUN000322	AFUN000322-RA	protein phosphatase 2C homolog 2/3 [Source:Projected from Anopheles gambiae (AGAP002266) VB Community Annotation]	
AFUN000323	AFUN000323-RA	splicing factor, arginine/serine-rich [Source:Projected from Anopheles gambiae (AGAP002265) VB Community Annotation]	
AFUN000333	AFUN000333-RA	heparosan-N-sulfate-glucuronate 5-epimerase [Source:Projected from Anopheles gambiae (AGAP005699) VB Community Annotation]	
AFUN000334	AFUN000334-RA	mediator of RNA polymerase II transcription subunit 14	Med14
AFUN000335	AFUN000335-RA	unspecified product	
AFUN000336	AFUN000336-RA	cyclin T [Source:Projected from Anopheles gambiae (AGAP006678) VB Community Annotation]	
AFUN000337	AFUN000337-RA	unspecified product	
AFUN000338	AFUN000338-RA	unspecified product	
AFUN000339	AFUN000339-RA	unspecified product	
AFUN000343	AFUN000343-RA	vacuolar fusion protein CCZ1 homolog [Source:Projected from Anopheles gambiae (AGAP006687) VB Community Annotation]	
AFUN000344	AFUN000344-RA	signal recognition particle receptor subunit beta [Source:Projected from Anopheles gambiae (AGAP006688) VB Community Annotation]	
AFUN000348	AFUN000348-RA	unspecified product	
AFUN000349	AFUN000349-RA	unspecified product	
AFUN000350	AFUN000350-RA	hairy and enhancer of split, invertebrate [Source:Projected from Anopheles gambiae (AGAP006699) VB Community Annotation]	
AFUN000351	AFUN000351-RA	carboxylesterase alpha esterase [Source:Projected from Anopheles gambiae (AGAP006700) VB Community Annotation]	
AFUN000354	AFUN000354-RA	SAM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R2G4]	
AFUN000355	AFUN000355-RA	amiloride-sensitive sodium channel [Source:Projected from Anopheles gambiae (AGAP006703) VB Community Annotation]	
AFUN000356	AFUN000356-RA	amiloride-sensitive sodium channel [Source:Projected from Anopheles gambiae (AGAP006704) VB Community Annotation]	
AFUN000357	AFUN000357-RA	ZP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R2G7]	
AFUN000358	AFUN000358-RA	unspecified product	
AFUN000360	AFUN000360-RA	gustatory receptor	Gr28
AFUN000362	AFUN000362-RA	unspecified product	
AFUN000365	AFUN000365-RA	unspecified product	
AFUN000369	AFUN000369-RA	cecropin anti-microbial peptide [Source:Projected from Anopheles gambiae (AGAP006722) VB Community Annotation]	
AFUN000373	AFUN000373-RA	carboxylesterase [Source:Projected from Anopheles gambiae (AGAP006727) VB Community Annotation]	
AFUN000373	AFUN000373-RB	carboxylesterase [Source:Projected from Anopheles gambiae (AGAP006727) VB Community Annotation]	
AFUN000374	AFUN000374-RA	Ester hydrolase C11orf54 [Source:Projected from Anopheles gambiae (AGAP006729) VB Community Annotation]	
AFUN000375	AFUN000375-RA	RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R2I4]	
AFUN000379	AFUN000379-RA	Trafficking kinesin-binding protein [Source:Projected from Anopheles gambiae (AGAP029585) UniProtKB/TrEMBL;Acc:A0A453Z048]	
AFUN000380	AFUN000380-RA	Phosphoglycerate kinase [Source:UniProtKB/TrEMBL;Acc:A0A182R2I9]	Pgk
AFUN000383	AFUN000383-RA	peroxin [Source:Projected from Anopheles gambiae (AGAP008804) VB Community Annotation]	
AFUN000389	AFUN000389-RA	unspecified product	
AFUN000389	AFUN000389-RB	unspecified product	
AFUN000390	AFUN000390-RA	FMS-like tyrosine kinase [Source:Projected from Anopheles gambiae (AGAP008813) VB Community Annotation]	
AFUN000391	AFUN000391-RA	Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182R2K0]	
AFUN000392	AFUN000392-RA	chitinase [Source:Projected from Anopheles gambiae (AGAP005337) VB Community Annotation]	
AFUN000393	AFUN000393-RA	unspecified product	
AFUN000394	AFUN000394-RA	unspecified product	
AFUN000395	AFUN000395-RA	myotubularin related protein [Source:Projected from Anopheles gambiae (AGAP005341) VB Community Annotation]	
AFUN000395	AFUN000395-RB	myotubularin related protein [Source:Projected from Anopheles gambiae (AGAP005341) VB Community Annotation]	
AFUN000397	AFUN000397-RA	Vacuolar protein sorting-associated protein 28 homolog [Source:UniProtKB/TrEMBL;Acc:A0A182R2K6]	
AFUN000398	AFUN000398-RA	unspecified product	
AFUN000399	AFUN000399-RA	unspecified product	
AFUN000400	AFUN000400-RA	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:Projected from Anopheles gambiae (AGAP005347) VB Community Annotation]	
