Gene_stable_ID	Gene_name	Gene_description
AGAP000179	""	Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEW3]
AGAP000179	""	Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEW3]
AGAP000179	""	Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEW3]
AGAP000180	""	phosphoribosylaminoimidazole carboxylase [Source:VB Community Annotation]
AGAP000181	""	riboflavin transporter 2 [Source:VB Community Annotation]
AGAP000182	""	""
AGAP000183	""	""
AGAP000184	""	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [Source:VB Community Annotation]
AGAP000184	""	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [Source:VB Community Annotation]
AGAP000185	""	double stranded RNA-specific editase [Source:VB Community Annotation]
AGAP000186	""	""
AGAP000187	""	""
AGAP000188	""	Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP000188	""	Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP000189	""	transcription initiation factor TFIID subunit 3 [Source:VB Community Annotation]
AGAP000190	""	""
AGAP000191	""	""
AGAP000192	CYP4C26	cytochrome P450 [Source:VB Community Annotation]
AGAP000193	CYP4C37	cytochrome P450 [Source:VB Community Annotation]
AGAP000194	CYP4C25	cytochrome P450 [Source:VB Community Annotation]
AGAP000195	""	cytoplasmic FMR1 interacting protein [Source:VB Community Annotation]
AGAP000196	""	""
AGAP000198	Cht5-5	chitinase [Source:VB Community Annotation]
AGAP000199	""	phospholipase D3/4 [Source:VB Community Annotation]
AGAP000199	""	phospholipase D3/4 [Source:VB Community Annotation]
AGAP000200	""	""
AGAP000201	""	26S proteasome non-ATPase regulatory subunit 9 [Source:VB Community Annotation]
AGAP000202	""	""
AGAP000203	""	inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]
AGAP000204	""	""
AGAP000205	""	""
AGAP000205	""	""
AGAP000206	""	""
AGAP000207	""	""
AGAP000208	""	""
AGAP000209	""	glutamate receptor binding protein [Source:VB Community Annotation]
AGAP000210	""	triacylglycerol lipase [Source:VB Community Annotation]
AGAP000211	""	triacylglycerol lipase [Source:VB Community Annotation]
AGAP000213	""	ankyrin repeat and SOCS box protein 17 [Source:VB Community Annotation]
AGAP000214	""	guanylate cyclase soluble subunit beta [Source:VB Community Annotation]
AGAP000215	""	homeobox protein OTX [Source:VB Community Annotation]
AGAP000216	""	""
AGAP000217	""	""
AGAP000218	""	""
AGAP000219	""	Tektin-3 [Source:VB Community Annotation]
AGAP000220	""	xylulokinase [Source:VB Community Annotation]
AGAP000222	""	""
AGAP000222	""	""
AGAP000223	""	""
AGAP000225	""	netrin 1 [Source:VB Community Annotation]
AGAP000226	Or41	odorant receptor 41 [Source:VB Community Annotation]
AGAP000228	""	netrin 1 [Source:VB Community Annotation]
AGAP000230	Or52	odorant receptor 52 [Source:VB Community Annotation]
AGAP000232	""	regulator of G-protein signaling [Source:VB Community Annotation]
AGAP000233	""	""
AGAP000234	""	""
AGAP000235	""	Thymosin [Source:VB Community Annotation]
AGAP000235	""	Thymosin [Source:VB Community Annotation]
AGAP000235	""	Thymosin [Source:VB Community Annotation]
AGAP000236	""	3',5'-cyclic-nucleotide phosphodiesterase [Source:VB Community Annotation]
AGAP000236	""	3',5'-cyclic-nucleotide phosphodiesterase [Source:VB Community Annotation]
AGAP000237	""	cAMP response element-binding protein (CREB) [Source:VB Community Annotation]
AGAP000238	""	""
AGAP000239	""	allantoinase [Source:VB Community Annotation]
AGAP000240	""	HtrA serine peptidase 2 [Source:VB Community Annotation]
AGAP000241	""	N-acetylglucosamine kinase [Source:VB Community Annotation]
AGAP000242	""	vesicle transport protein SEC20 [Source:VB Community Annotation]
AGAP000243	""	Rhophilin-2 [Source:VB Community Annotation]
AGAP000244	""	""
AGAP000245	""	""
AGAP000246	""	""
AGAP000247	""	""
AGAP000247	""	""
AGAP000248	""	protein phosphatase 1H [Source:VB Community Annotation]
AGAP000249	""	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [Source:VB Community Annotation]
AGAP000250	""	STAGA complex 65 subunit gamma [Source:VB Community Annotation]
AGAP000251	""	""
AGAP000252	""	oligopeptidase A [Source:VB Community Annotation]
AGAP000253	""	solute carrier family 25 [Source:VB Community Annotation]
AGAP000254	""	potassium voltage-gated channel Shaker-related subfamily A [Source:VB Community Annotation]
AGAP000254	""	potassium voltage-gated channel Shaker-related subfamily A [Source:VB Community Annotation]
AGAP000255	""	disks large protein 1 [Source:VB Community Annotation]
AGAP000255	""	disks large protein 1 [Source:VB Community Annotation]
AGAP000255	""	disks large protein 1 [Source:VB Community Annotation]
AGAP000255	""	disks large protein 1 [Source:VB Community Annotation]
AGAP000255	""	disks large protein 1 [Source:VB Community Annotation]
AGAP000256	IR93a	ionotropic receptor IR93a [Source:VB Community Annotation]
AGAP000258	""	Hexosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PRX3]
AGAP000260	""	mitochondrial ATP synthase epsilon chain [Source:VB Community Annotation]
AGAP000260	""	mitochondrial ATP synthase epsilon chain [Source:VB Community Annotation]
AGAP000260	""	mitochondrial ATP synthase epsilon chain [Source:VB Community Annotation]
AGAP000260	""	mitochondrial ATP synthase epsilon chain [Source:VB Community Annotation]
AGAP000261	""	DnaJ-like protein subfamily C [Source:VB Community Annotation]
AGAP000262	""	""
AGAP000264	""	""
AGAP000264	""	""
AGAP000266	""	""
AGAP000267	""	""
AGAP000268	""	""
AGAP000269	""	ubiquitin carboxyl-terminal hydrolase 30 [Source:VB Community Annotation]
AGAP000270	""	nucleolar protein 53 [Source:VB Community Annotation]
AGAP000271	""	""
AGAP000272	""	transcription initiation factor TFIID subunit 9 / adenylate kinase [Source:VB Community Annotation]
AGAP000273	""	""
AGAP000274	""	""
AGAP000275	""	epidermal retinal dehydrogenase [Source:VB Community Annotation]
AGAP000277	""	EF-hand calcium-binding domain-containing protein 1 [Source:VB Community Annotation]
AGAP000278	OBP9	odorant-binding protein 9 [Source:VB Community Annotation]
AGAP000279	OBP8	odorant-binding protein 8 [Source:VB Community Annotation]
AGAP000280	""	guanylate cyclase soluble subunit alpha [Source:VB Community Annotation]
AGAP000280	""	guanylate cyclase soluble subunit alpha [Source:VB Community Annotation]
AGAP000281	""	""
AGAP000283	""	""
AGAP000284	CYP315A1	cytochrome P450 [Source:VB Community Annotation]
AGAP000285	""	""
AGAP000286	""	""
AGAP000287	""	prostaglandin reductase 1, gene [Source:VB Community Annotation]
AGAP000288	""	prostaglandin reductase 1 [Source:VB Community Annotation]
AGAP000289	""	prostaglandin reductase 1, gene 2 [Source:VB Community Annotation]
AGAP000290	CLIPA27	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000291	""	Translocase of inner mitochondrial membrane 44 homolog (yeast) [Source:VB Community Annotation]
AGAP000292	""	""
AGAP000293	IR100h	ionotropic receptor IR100h [Source:VB Community Annotation]
AGAP000294	""	""
AGAP000295	""	""
AGAP000296	""	""
AGAP000297	""	""
AGAP000298	""	""
AGAP000299	""	""
AGAP000300	""	Bifunctional pyrimidine biosynthesis protein (PyrABCN) [Source:VB Community Annotation]
AGAP000301	""	""
AGAP000303	""	""
AGAP000304	""	Protein twisted gastrulation [Source:VB Community Annotation]
AGAP000304	""	Protein twisted gastrulation [Source:VB Community Annotation]
AGAP000304	""	Protein twisted gastrulation [Source:VB Community Annotation]
AGAP000305	""	SPARC [Source:VB Community Annotation]
AGAP000306	""	Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q7QF50]
AGAP000307	""	Integrin alpha-PS1 [Source:VB Community Annotation]
AGAP000308	""	proteasome activator subunit 3 (PA28 gamma) [Source:VB Community Annotation]
AGAP000309	""	""
AGAP000310	""	mitogen-activated protein kinase kinase 3 [Source:VB Community Annotation]
AGAP000311	""	UNC93-like protein MFSD11 [Source:VB Community Annotation]
AGAP000312	""	""
AGAP000313	""	alanine-glyoxylate aminotransferase 2-like [Source:VB Community Annotation]
AGAP000314	""	""
AGAP000314	""	""
AGAP000315	CLIPC6	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP000316	""	""
AGAP000317	""	""
AGAP000319	""	Katanin p80 WD40 repeat-containing subunit B1 [Source:UniProtKB/TrEMBL;Acc:Q7QF60]
AGAP000320	""	dynein intermediate chain, cytosolic [Source:VB Community Annotation]
AGAP000320	""	dynein intermediate chain, cytosolic [Source:VB Community Annotation]
AGAP000320	""	dynein intermediate chain, cytosolic [Source:VB Community Annotation]
AGAP000321	""	""
AGAP000321	""	""
AGAP000322	""	Adaptin ear-binding coat-associated protein 1 [Source:VB Community Annotation]
AGAP000323	""	""
AGAP000324	""	tRNA (guanine9-N1)-methyltransferase [Source:VB Community Annotation]
AGAP000325	""	lysyl-tRNA synthetase, class II [Source:VB Community Annotation]
AGAP000325	""	lysyl-tRNA synthetase, class II [Source:VB Community Annotation]
AGAP000326	""	""
AGAP000327	""	tyrosine aminotransferase [Source:VB Community Annotation]
AGAP000328	""	AMME syndrome candidate gene 1 protein [Source:VB Community Annotation]
AGAP000329	alpha3	nicotinic acetylcholine receptor subunit alpha 3 [Source:VB Community Annotation]
AGAP000330	""	""
AGAP000331	""	low density lipoprotein-related protein 2] [Source:VB Community Annotation]
AGAP000332	Vir	protein virilizer [Source:VB Community Annotation]
AGAP000334	""	""
AGAP000334	""	""
AGAP000336	""	transcription initiation factor TFIID TATA-box-binding protein [Source:VB Community Annotation]
AGAP000337	""	regulator of nonsense transcripts 2 [Source:VB Community Annotation]
AGAP000338	""	phosphomevalonate kinase [Source:VB Community Annotation]
AGAP000339	""	E3 ubiquitin-protein ligase Hakai [Source:VB Community Annotation]
AGAP000340	""	""
AGAP000341	GALE2	galectin 2 [Source:VB Community Annotation]
AGAP000342	""	inhibin, beta [Source:VB Community Annotation]
AGAP000343	""	""
AGAP000344	CPR127	cuticular protein RR-1 family 127 [Source:VB Community Annotation]
AGAP000344	CPR127	cuticular protein RR-1 family 127 [Source:VB Community Annotation]
AGAP000345	CPR126	cuticular protein RR-2 family 126 [Source:VB Community Annotation]
AGAP000345	CPR126	cuticular protein RR-2 family 126 [Source:VB Community Annotation]
AGAP000346	SPZ1	spaetzle-like cytokine 1 [Source:VB Community Annotation]
AGAP000347	CAPA	pyrokinin capa-like [Source:VB Community Annotation]
AGAP000348	""	""
AGAP000349	""	transient receptor potential cation channel subfamily C, invertebrate [Source:VB Community Annotation]
AGAP000351	GPRNPY1	""
AGAP000352	TWDL1	cuticular protein TWDL family (TWDL1) [Source:VB Community Annotation]
AGAP000354	""	""
AGAP000354	""	""
AGAP000355	""	""
AGAP000356	""	""
AGAP000357	""	E3 ubiquitin-protein ligase ZNRF1/2 [Source:VB Community Annotation]
AGAP000358	""	""
AGAP000359	""	venom allergen [Source:VB Community Annotation]
AGAP000360	""	""
AGAP000361	""	""
AGAP000363	""	""
AGAP000364	""	protein stoned-A [Source:VB Community Annotation]
AGAP000365	""	alpha-1,3-fucosyltransferase [Source:VB Community Annotation]
AGAP000366	""	""
AGAP000367	""	glyoxalase domain-containing protein 4 [Source:VB Community Annotation]
AGAP000368	""	PI-3-kinase-related kinase SMG-1 [Source:VB Community Annotation]
AGAP000369	GPRNNA10	putative GPCR class a orphan receptor 10 [Source:VB Community Annotation]
AGAP000372	""	""
AGAP000374	""	anaphase-promoting complex subunit 1 [Source:VB Community Annotation]
AGAP000375	""	""
AGAP000376	Tsf1	Transferrin [Source:UniProtKB/TrEMBL;Acc:Q7QF98]
AGAP000377	""	E3 ubiquitin-protein ligase [Source:UniProtKB/TrEMBL;Acc:Q7QF99]
AGAP000378	""	programmed cell death protein 4 [Source:VB Community Annotation]
AGAP000379	PBD3	piggyBac-derived 3 [Source:VB Community Annotation]
AGAP000380	""	5'-nucleotidase [Source:VB Community Annotation]
AGAP000380	""	5'-nucleotidase [Source:VB Community Annotation]
AGAP000382	CPF4	cuticular protein 4 from fifty-one aa family [Source:VB Community Annotation]
AGAP000383	""	putative G-protein coupled receptor GPCR [Source:VB Community Annotation]
AGAP000384	""	E3 ubiquitin-protein ligase UBR3 [Source:VB Community Annotation]
AGAP000385	""	""
AGAP000385	""	""
AGAP000385	""	""
AGAP000385	""	""
AGAP000386	""	E3 ubiquitin-protein ligase UBR3 [Source:VB Community Annotation]
AGAP000387	""	UDP-N-acetylglucosamine transporter [Source:VB Community Annotation]
AGAP000388	TRAF6	TOLL pathway signalling TNF Receptor-Associated Factor (TRAF). [Source:VB Community Annotation]
AGAP000389	""	""
AGAP000390	""	Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:Q7PS19]
AGAP000391	""	negative elongation factor C/D [Source:VB Community Annotation]
AGAP000392	""	synaptobrevin homolog YKT6 [Source:VB Community Annotation]
AGAP000393	""	Trimeric intracellular cation channel type B [Source:VB Community Annotation]
AGAP000393	""	Trimeric intracellular cation channel type B [Source:VB Community Annotation]
AGAP000394	""	facilitated glucose transporter (solute carrier family 2) [Source:VB Community Annotation]
AGAP000395	""	endoplasmic reticulum protein [Source:VB Community Annotation]
AGAP000396	TPX1	thioredoxin peroxidase 1 [Source:VB Community Annotation]
AGAP000397	""	nucleolar protein 14 [Source:VB Community Annotation]
AGAP000398	""	methionyl-tRNA formyltransferase [Source:VB Community Annotation]
AGAP000399	""	squid [Source:VB Community Annotation]
AGAP000399	""	squid [Source:VB Community Annotation]
AGAP000400	""	""
AGAP000401	""	carbonic anhydrase 2 [Source:VB Community Annotation]
AGAP000402	""	Nogo-B receptor precursor [Source:VB Community Annotation]
AGAP000403	""	""
AGAP000405	""	sphingomyelin phosphodiesterase 4 [Source:VB Community Annotation]
AGAP000406	""	Rho-associated protein kinase [Source:VB Community Annotation]
AGAP000407	""	""
AGAP000410	""	histone deacetylase 4/5 [Source:VB Community Annotation]
AGAP000411	""	""
AGAP000412	""	""
AGAP000413	""	""
AGAP000414	""	prostaglandin reductase 1 [Source:VB Community Annotation]
AGAP000415	""	5-hydroxyisourate hydrolase [Source:VB Community Annotation]
AGAP000416	""	hydroxyacylglutathione hydrolase [Source:VB Community Annotation]
AGAP000416	""	hydroxyacylglutathione hydrolase [Source:VB Community Annotation]
AGAP000416	""	hydroxyacylglutathione hydrolase [Source:VB Community Annotation]
AGAP000417	""	""
AGAP000418	""	""
AGAP000419	""	""
AGAP000420	""	""
AGAP000421	""	""
AGAP000422	""	(heparan sulfate)-glucosamine 3-sulfotransferase 3 [Source:VB Community Annotation]
AGAP000423	""	""
AGAP000424	""	""
AGAP000425	""	""
AGAP000426	""	benzodiazapine receptor [Source:VB Community Annotation]
AGAP000426	""	benzodiazapine receptor [Source:VB Community Annotation]
AGAP000426	""	benzodiazapine receptor [Source:VB Community Annotation]
AGAP000427	""	vitellogenin receptor [Source:VB Community Annotation]
AGAP000428	""	""
AGAP000429	""	Protein FAN [Source:VB Community Annotation]
AGAP000430	""	""
AGAP000431	""	""
AGAP000432	""	""
AGAP000433	""	Ras-related protein Rab-39B [Source:VB Community Annotation]
AGAP000433	""	Ras-related protein Rab-39B [Source:VB Community Annotation]
AGAP000434	""	dolichyl-diphosphooligosaccharide--protein glycosyltransferase [Source:VB Community Annotation]
AGAP000436	Cht11	chitinase [Source:VB Community Annotation]
AGAP000437	""	""
AGAP000438	""	""
AGAP000439	""	4a-hydroxytetrahydrobiopterin dehydratase [Source:VB Community Annotation]
AGAP000440	ABCD2	ATP-binding cassette transporter (ABC transporter) family D member 2 [Source:VB Community Annotation]
AGAP000441	""	nuclear transcription factor Y, gamma [Source:VB Community Annotation]
AGAP000442	""	""
AGAP000443	""	""
AGAP000444	Ciao1	cytosolic iron-sulfur protein assembly protein [Source:VB Community Annotation]
AGAP000445	GPRADS	putative adenosine receptor [Source:VB Community Annotation]
AGAP000446	""	""
AGAP000447	""	""
AGAP000448	""	solute carrier family 25 (mitochondrial ornithine transporter) member 2/15 [Source:VB Community Annotation]
AGAP000449	""	""
AGAP000449	""	""
AGAP000452	""	""
AGAP000453	""	""
AGAP000454	""	""
AGAP000456	""	""
AGAP000457	""	protein-L-isoaspartate(D-aspartate) O-methyltransferase [Source:VB Community Annotation]
AGAP000457	""	protein-L-isoaspartate(D-aspartate) O-methyltransferase [Source:VB Community Annotation]
AGAP000458	""	""
AGAP000460	""	""
AGAP000461	""	Odz, odd Oz/ten-m homolog 2 (Drosophila) [Source:VB Community Annotation]
AGAP000462	""	peptidyl-prolyl isomerase F (cyclophilin D) [Source:VB Community Annotation]
AGAP000462	""	peptidyl-prolyl isomerase F (cyclophilin D) [Source:VB Community Annotation]
AGAP000463	""	""
AGAP000466	ACE2	acetylcholinesterase [Source:VB Community Annotation]
AGAP000467	""	lysophospholipid hydrolase [Source:VB Community Annotation]
AGAP000467	""	lysophospholipid hydrolase [Source:VB Community Annotation]
AGAP000468	""	""
AGAP000469	""	""
AGAP000470	""	methylthioribulose-1-phosphate dehydratase [Source:VB Community Annotation]
AGAP000471	""	F-box and leucine-rich repeat protein 4 [Source:VB Community Annotation]
AGAP000471	""	F-box and leucine-rich repeat protein 4 [Source:VB Community Annotation]
AGAP000472	""	chordin [Source:VB Community Annotation]
AGAP000472	""	chordin [Source:VB Community Annotation]
AGAP000473	""	proton-coupled amino acid transporter [Source:VB Community Annotation]
AGAP000474	""	origin recognition complex subunit 2 [Source:VB Community Annotation]
AGAP000475	""	""
AGAP000475	""	""
AGAP000476	""	Xaa-Pro aminopeptidase [Source:VB Community Annotation]
AGAP000477	""	serine/threonine kinase 32 [Source:VB Community Annotation]
AGAP000478	""	BTB/POZ domain-containing protein KCTD9 [Source:VB Community Annotation]
AGAP000479	""	pre-rRNA-processing protein IPI3 [Source:VB Community Annotation]
AGAP000480	""	nuclear pore complex protein Nup43 [Source:VB Community Annotation]
AGAP000481	""	cyanogenic beta-glucosidase [Source:VB Community Annotation]
AGAP000482	""	""
AGAP000483	""	Inositol polyphosphate-5-phosphatase F [Source:VB Community Annotation]
AGAP000483	""	Inositol polyphosphate-5-phosphatase F [Source:VB Community Annotation]
AGAP000483	""	Inositol polyphosphate-5-phosphatase F [Source:VB Community Annotation]
AGAP000484	""	homeobox protein Nkx-1 [Source:VB Community Annotation]
