GeneID	GeneDescription	GeneName	TranscriptID
AAEL022546			AAEL022546-RA
AAEL026095			AAEL026095-RA
AAEL010944			AAEL010944-RB
AAEL010944			AAEL010944-RA
AAEL010944			AAEL010944-RC
AAEL005342			AAEL005342-RA
AAEL013869	RNA-binding protein [Source:VB Community Annotation]		AAEL013869-RA
AAEL019547			AAEL019547-RA
AAEL014354	Clip-Domain Serine Protease family B. [Source:VB Community Annotation]	CLIPB43	AAEL014354-RA
AAEL026429			AAEL026429-RA
AAEL024646			AAEL024646-RA
AAEL018177			AAEL018177-RA
AAEL021958			AAEL021958-RA
AAEL026022			AAEL026022-RA
AAEL026590			AAEL026590-RA
AAEL009526			AAEL009526-RA
AAEL023249			AAEL023249-RA
AAEL026780			AAEL026780-RA
AAEL001540	ubiquitin specific protease [Source:VB Community Annotation]		AAEL001540-RB
AAEL010064			AAEL010064-RB
AAEL010064			AAEL010064-RC
AAEL010064			AAEL010064-RD
AAEL010064			AAEL010064-RE
AAEL018305			AAEL018305-RA
AAEL001635			AAEL001635-RA
AAEL018267			AAEL018267-RB
AAEL018267			AAEL018267-RC
AAEL018267			AAEL018267-RD
AAEL018267			AAEL018267-RE
AAEL018267			AAEL018267-RF
AAEL018267			AAEL018267-RG
AAEL020491			AAEL020491-RA
AAEL024154			AAEL024154-RA
AAEL025965			AAEL025965-RA
AAEL025965			AAEL025965-RB
AAEL028192			AAEL028192-RA
AAEL008421	cadherin [Source:VB Community Annotation]		AAEL008421-RB
AAEL008421	cadherin [Source:VB Community Annotation]		AAEL008421-RC
AAEL008421	cadherin [Source:VB Community Annotation]		AAEL008421-RD
AAEL009682	serine collagenase 1 precursor, putative [Source:VB Community Annotation]		AAEL009682-RA
AAEL013377			AAEL013377-RB
AAEL026071			AAEL026071-RA
AAEL008267	GPCR Neurokinin/Tachykinin Family [Source:VB Community Annotation]	GPRNPR5	AAEL008267-RB
AAEL008267	GPCR Neurokinin/Tachykinin Family [Source:VB Community Annotation]	GPRNPR5	AAEL008267-RC
AAEL010404			AAEL010404-RB
AAEL010404			AAEL010404-RA
AAEL021682			AAEL021682-RA
AAEL021682			AAEL021682-RB
AAEL001321	Transcription factor dp [Source:UniProtKB/TrEMBL;Acc:A0A1S4EYF0]		AAEL001321-RA
AAEL001321	Transcription factor dp [Source:UniProtKB/TrEMBL;Acc:A0A1S4EYF0]		AAEL001321-RB
AAEL015002	aldo-keto reductase [Source:VB Community Annotation]		AAEL015002-RA
AAEL022329			AAEL022329-RA
AAEL027461			AAEL027461-RA
AAEL006056	nuclear protein localization [Source:VB Community Annotation]		AAEL006056-RA
AAEL006056	nuclear protein localization [Source:VB Community Annotation]		AAEL006056-RB
AAEL027030			AAEL027030-RA
AAEL012126	F-box/lrr protein, drome [Source:VB Community Annotation]		AAEL012126-RA
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]		AAEL009932-RC
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]		AAEL009932-RA
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]		AAEL009932-RE
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]		AAEL009932-RB
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]		AAEL009932-RF
AAEL009932	lethal giant larva homologue [Source:VB Community Annotation]		AAEL009932-RD
AAEL019503			AAEL019503-RA
AAEL019503			AAEL019503-RB
AAEL019503			AAEL019503-RC
AAEL019503			AAEL019503-RD
AAEL019503			AAEL019503-RE
AAEL019503			AAEL019503-RF
AAEL019503			AAEL019503-RG
AAEL019503			AAEL019503-RH
AAEL019503			AAEL019503-RI
AAEL019592			AAEL019592-RA
AAEL019592			AAEL019592-RB
AAEL019592			AAEL019592-RC
AAEL019592			AAEL019592-RD
AAEL026690			AAEL026690-RA
AAEL010602	starch branching enzyme ii [Source:VB Community Annotation]		AAEL010602-RA
AAEL003491	proline synthetase associated protein [Source:VB Community Annotation]		AAEL003491-RC
AAEL003491	proline synthetase associated protein [Source:VB Community Annotation]		AAEL003491-RD
AAEL003491	proline synthetase associated protein [Source:VB Community Annotation]		AAEL003491-RE
AAEL003491	proline synthetase associated protein [Source:VB Community Annotation]		AAEL003491-RF
AAEL003425			AAEL003425-RA
AAEL003425			AAEL003425-RB
AAEL010078			AAEL010078-RB
AAEL024711			AAEL024711-RA
AAEL004457	cytochrome c [Source:VB Community Annotation]		AAEL004457-RD
AAEL004457	cytochrome c [Source:VB Community Annotation]		AAEL004457-RE
AAEL022834			AAEL022834-RA
AAEL022834			AAEL022834-RB
AAEL004741	aquaporin transporter [Source:VB Community Annotation]		AAEL004741-RA
AAEL024093			AAEL024093-RA
AAEL027365			AAEL027365-RA
AAEL024830			AAEL024830-RA
AAEL003970	amino acid transporter [Source:VB Community Annotation]		AAEL003970-RB
AAEL003970	amino acid transporter [Source:VB Community Annotation]		AAEL003970-RC
AAEL010047			AAEL010047-RA
AAEL010047			AAEL010047-RB
AAEL022450			AAEL022450-RA
AAEL015236	signal recognition particle, 9kD-subunit, putative [Source:VB Community Annotation]		AAEL015236-RB
AAEL006319			AAEL006319-RB
AAEL027336			AAEL027336-RA
AAEL027336			AAEL027336-RB
AAEL001690	serine-type enodpeptidase [Source:VB Community Annotation]		AAEL001690-RA
AAEL025326			AAEL025326-RA
AAEL020505			AAEL020505-RA
AAEL020505			AAEL020505-RB
AAEL020505			AAEL020505-RC
AAEL020505			AAEL020505-RD
AAEL002988			AAEL002988-RC
AAEL002988			AAEL002988-RB
AAEL002988			AAEL002988-RA
AAEL012008	cyclophilin [Source:VB Community Annotation]		AAEL012008-RA
AAEL023411			AAEL023411-RA
AAEL028086			AAEL028086-RA
AAEL028086			AAEL028086-RB
AAEL025446			AAEL025446-RA
AAEL013565			AAEL013565-RB
AAEL013565			AAEL013565-RC
AAEL013565			AAEL013565-RD
AAEL013565			AAEL013565-RE
AAEL013565			AAEL013565-RF
AAEL000762	leucine-rich immune protein (Coil-less) [Source:VB Community Annotation]	LRIM19	AAEL000762-RB
AAEL003201	Carboxy/choline esterase Alpha Esterase [Source:VB Community Annotation]	CCEAE5C	AAEL003201-RA
AAEL001691	adenylate cyclase [Source:VB Community Annotation]		AAEL001691-RA
AAEL005152			AAEL005152-RB
AAEL005152			AAEL005152-RC
AAEL005152			AAEL005152-RD
AAEL005152			AAEL005152-RE
AAEL005152			AAEL005152-RF
AAEL005152			AAEL005152-RG
AAEL005152			AAEL005152-RH
AAEL027988			AAEL027988-RA
AAEL026860			AAEL026860-RA
AAEL026860			AAEL026860-RB
AAEL026860			AAEL026860-RC
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RF
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RG
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RH
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RI
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RJ
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RK
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RL
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RM
AAEL009634	steroid dehydrogenase [Source:VB Community Annotation]		AAEL009634-RN
AAEL022906			AAEL022906-RA
AAEL011173			AAEL011173-RB
AAEL011173			AAEL011173-RC
AAEL011173			AAEL011173-RD
AAEL000164	d-amino acid oxidase [Source:VB Community Annotation]		AAEL000164-RB
AAEL000164	d-amino acid oxidase [Source:VB Community Annotation]		AAEL000164-RC
AAEL011084			AAEL011084-RB
AAEL002671			AAEL002671-RA
AAEL022844			AAEL022844-RA
AAEL022844			AAEL022844-RB
AAEL022844			AAEL022844-RC
AAEL022844			AAEL022844-RD
AAEL022844			AAEL022844-RE
AAEL024627			AAEL024627-RA
AAEL004668	Septin [Source:UniProtKB/TrEMBL;Acc:A0A1S4F8E6]		AAEL004668-RA
AAEL023738			AAEL023738-RA
AAEL013420	odorant receptor [Source:VB Community Annotation]	Or79	AAEL013420-RA
AAEL005032			AAEL005032-RB
AAEL005032			AAEL005032-RC
AAEL027265			AAEL027265-RA
AAEL026543			AAEL026543-RA
AAEL010339			AAEL010339-RA
AAEL013011			AAEL013011-RB
AAEL024909	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]		AAEL024909-RA
AAEL002152	kinesin-associated proteins [Source:VB Community Annotation]		AAEL002152-RA
AAEL008788	es2 protein [Source:VB Community Annotation]		AAEL008788-RA
AAEL027096			AAEL027096-RA
AAEL027096			AAEL027096-RB
AAEL015051	glycoside  hydrolases [Source:VB Community Annotation]		AAEL015051-RA
AAEL023658			AAEL023658-RA
AAEL024946			AAEL024946-RA
AAEL027231			AAEL027231-RA
AAEL014453			AAEL014453-RA
AAEL003449	structural maintenance of chromosomes 2 smc2 [Source:VB Community Annotation]		AAEL003449-RA
AAEL009667			AAEL009667-RA
AAEL018117			AAEL018117-RB
AAEL018247			AAEL018247-RA
AAEL017120			AAEL017120-RB
AAEL011213			AAEL011213-RA
AAEL010059	bacterial-type ABC transport ATP-binding subunit? or RNAse l inhibitor [Source:VB Community Annotation]		AAEL010059-RA
AAEL002436			AAEL002436-RD
AAEL002436			AAEL002436-RE
AAEL002436			AAEL002436-RF
AAEL007018	udp-glucose 4-epimerase [Source:VB Community Annotation]		AAEL007018-RA
AAEL007018	udp-glucose 4-epimerase [Source:VB Community Annotation]		AAEL007018-RB
AAEL026293			AAEL026293-RA
AAEL010011			AAEL010011-RA
AAEL008793			AAEL008793-RA
AAEL023283			AAEL023283-RA
AAEL007771	60S ribosomal protein L22 [Source:UniProtKB/TrEMBL;Acc:Q1HRP2]	RpL22	AAEL007771-RB
AAEL024488			AAEL024488-RA
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RB
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RC
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RD
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RE
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RF
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RG
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RH
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RI
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RJ
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RK
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RL
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RM
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RN
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RO
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RP
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RQ
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RR
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RS
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RT
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RU
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RV
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RW
AAEL006650	potassium channel beta [Source:VB Community Annotation]		AAEL006650-RX
AAEL021490			AAEL021490-RA
AAEL024475			AAEL024475-RA
AAEL008006	3-hydroxyacyl-coa dehyrogenase [Source:VB Community Annotation]		AAEL008006-RA
AAEL020265			AAEL020265-RA
AAEL020265			AAEL020265-RB
AAEL020265			AAEL020265-RC
AAEL020265			AAEL020265-RD
AAEL020265			AAEL020265-RE
AAEL019831			AAEL019831-RA
AAEL009132	cytochrome P450 [Source:VB Community Annotation]	CYP6Y3	AAEL009132-RB
AAEL009423	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]	SCRBQ2	AAEL009423-RA
AAEL020908			AAEL020908-RA
AAEL004195	membrane associated progesterone receptor [Source:VB Community Annotation]		AAEL004195-RA
AAEL025106			AAEL025106-RA
AAEL004814	potassium-dependent sodium-calcium exchanger, putative [Source:VB Community Annotation]		AAEL004814-RB
AAEL002107	sulfide quinone reductase [Source:VB Community Annotation]		AAEL002107-RA
AAEL025067			AAEL025067-RA
AAEL025067			AAEL025067-RB
AAEL004147	tetraspanin, putative [Source:VB Community Annotation]		AAEL004147-RB
AAEL002574	sodium/solute symporter [Source:VB Community Annotation]		AAEL002574-RA
AAEL013059			AAEL013059-RA
AAEL027729			AAEL027729-RA
AAEL019765			AAEL019765-RA
AAEL019765			AAEL019765-RB
AAEL027799			AAEL027799-RA
AAEL011557	metalloproteinase, putative [Source:VB Community Annotation]		AAEL011557-RA
AAEL003738			AAEL003738-RA
AAEL003217	dynein light chain [Source:VB Community Annotation]		AAEL003217-RA
AAEL003217	dynein light chain [Source:VB Community Annotation]		AAEL003217-RB
AAEL023274			AAEL023274-RA
AAEL023274			AAEL023274-RB
AAEL025648			AAEL025648-RA
AAEL012218	mitochondria associated granulocyte macrophage csf signaling molecule [Source:VB Community Annotation]		AAEL012218-RA
AAEL008686			AAEL008686-RB
AAEL008686			AAEL008686-RC
AAEL008686			AAEL008686-RD
AAEL011653	thyroid hormone receptor interactor [Source:VB Community Annotation]		AAEL011653-RA
AAEL006755			AAEL006755-RA
AAEL019845			AAEL019845-RA
AAEL019845			AAEL019845-RB
AAEL019845			AAEL019845-RC
AAEL019845			AAEL019845-RD
AAEL019845			AAEL019845-RE
AAEL010496			AAEL010496-RA
AAEL027891			AAEL027891-RA
AAEL007914	discs large protein [Source:VB Community Annotation]		AAEL007914-RB
AAEL007914	discs large protein [Source:VB Community Annotation]		AAEL007914-RC
AAEL007914	discs large protein [Source:VB Community Annotation]		AAEL007914-RD
AAEL013327			AAEL013327-RA
AAEL004448	torsin a [Source:VB Community Annotation]		AAEL004448-RD
AAEL004448	torsin a [Source:VB Community Annotation]		AAEL004448-RB
AAEL004448	torsin a [Source:VB Community Annotation]		AAEL004448-RA
AAEL004448	torsin a [Source:VB Community Annotation]		AAEL004448-RC
AAEL023493			AAEL023493-RA
AAEL024833			AAEL024833-RA
AAEL006413	ubiquitin-conjugating enzyme morgue [Source:VB Community Annotation]		AAEL006413-RA
AAEL006537			AAEL006537-RB
AAEL000020			AAEL000020-RA
AAEL011837	cAMP-dependent protein kinase catalytic subunit [Source:VB Community Annotation]		AAEL011837-RA
AAEL011837	cAMP-dependent protein kinase catalytic subunit [Source:VB Community Annotation]		AAEL011837-RB
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RB
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RC
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RD
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RE
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RF
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RG
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RH
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RI
AAEL004479	organic cation transporter [Source:VB Community Annotation]		AAEL004479-RJ
AAEL012990	mrg-binding protein [Source:VB Community Annotation]		AAEL012990-RA
AAEL023980			AAEL023980-RA
AAEL000324	tyrosine-protein kinase drl [Source:VB Community Annotation]		AAEL000324-RB
AAEL027364			AAEL027364-RA
AAEL010176			AAEL010176-RA
AAEL024575			AAEL024575-RA
AAEL007495	phosphoglycerate mutase [Source:VB Community Annotation]		AAEL007495-RA
AAEL007495	phosphoglycerate mutase [Source:VB Community Annotation]		AAEL007495-RB
AAEL007948	glutathione transferase [Source:VB Community Annotation]	GSTE7	AAEL007948-RA
AAEL020482			AAEL020482-RA
AAEL027216			AAEL027216-RA
AAEL026035			AAEL026035-RA
AAEL005863			AAEL005863-RA
AAEL019771			AAEL019771-RA
AAEL019771			AAEL019771-RB
AAEL019771			AAEL019771-RC
AAEL019771			AAEL019771-RD
AAEL019771			AAEL019771-RE
AAEL018314			AAEL018314-RB
AAEL018314			AAEL018314-RC
AAEL018314			AAEL018314-RD
AAEL018314			AAEL018314-RE
AAEL020005			AAEL020005-RA
AAEL005960			AAEL005960-RA
AAEL008593	NAD dependent epimerase/dehydratase [Source:VB Community Annotation]		AAEL008593-RA
AAEL017098			AAEL017098-RA
AAEL017098			AAEL017098-RB
AAEL021242			AAEL021242-RA
AAEL003776			AAEL003776-RA
AAEL009551	Toll-like receptor [Source:VB Community Annotation]	TOLL11	AAEL009551-RB
AAEL024996			AAEL024996-RA
AAEL009133	cytochrome P450 [Source:VB Community Annotation]	CYP6N14	AAEL009133-RA
AAEL015136	Niemann-Pick Type C-2, putative [Source:VB Community Annotation]		AAEL015136-RA
AAEL028007			AAEL028007-RA
AAEL025913			AAEL025913-RA
AAEL006027	lipase [Source:VB Community Annotation]		AAEL006027-RB
AAEL006027	lipase [Source:VB Community Annotation]		AAEL006027-RC
AAEL027528			AAEL027528-RA
AAEL027111			AAEL027111-RA
AAEL027111			AAEL027111-RB
AAEL027111			AAEL027111-RC
AAEL027111			AAEL027111-RD
AAEL027111			AAEL027111-RE
AAEL027111			AAEL027111-RF
AAEL013563	odorant receptor (Or122) [Source:VB Community Annotation]	Or122	AAEL013563-RB
AAEL013563	odorant receptor (Or122) [Source:VB Community Annotation]	Or122	AAEL013563-RA
AAEL025781			AAEL025781-RA
AAEL007391			AAEL007391-RB
AAEL007313			AAEL007313-RB
AAEL000377			AAEL000377-RA
AAEL014895	M protein type, putative [Source:VB Community Annotation]		AAEL014895-RA
AAEL024252			AAEL024252-RA
AAEL024965			AAEL024965-RA
AAEL024965			AAEL024965-RB
AAEL024965			AAEL024965-RC
AAEL024965			AAEL024965-RD
AAEL019470			AAEL019470-RA
AAEL020502			AAEL020502-RA
AAEL020502			AAEL020502-RB
AAEL005216			AAEL005216-RA
AAEL023947			AAEL023947-RA
AAEL010768			AAEL010768-RA
AAEL008184			AAEL008184-RE
AAEL008184			AAEL008184-RB
AAEL008184			AAEL008184-RD
AAEL008184			AAEL008184-RC
AAEL008184			AAEL008184-RA
AAEL013222			AAEL013222-RA
AAEL024251	Insulin-like peptide 7 [Source:UniProtKB/TrEMBL;Acc:A0EZS2]		AAEL024251-RA
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RB
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RC
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RD
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RE
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RF
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RG
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RH
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RI
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RJ
AAEL014578	ssm4 protein [Source:VB Community Annotation]		AAEL014578-RK
AAEL027481			AAEL027481-RA
AAEL025299	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]		AAEL025299-RA
AAEL009647			AAEL009647-RA
AAEL025701			AAEL025701-RA
AAEL011491	odorant binding protein OBP52 [Source:VB Community Annotation]	OBP52	AAEL011491-RB
AAEL020280			AAEL020280-RA
AAEL023567			AAEL023567-RA
AAEL026427			AAEL026427-RA
AAEL000227	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]	SCRB8	AAEL000227-RA
AAEL010592	esterase, putative [Source:VB Community Annotation]		AAEL010592-RB
AAEL011133			AAEL011133-RC
AAEL011133			AAEL011133-RA
AAEL011133			AAEL011133-RB
AAEL022789	Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q173V2]		AAEL022789-RA
AAEL022789	Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q173V2]		AAEL022789-RB
AAEL019955			AAEL019955-RA
AAEL022209			AAEL022209-RA
AAEL024723			AAEL024723-RA
AAEL014880			AAEL014880-RB
AAEL014880			AAEL014880-RC
AAEL014880			AAEL014880-RD
AAEL002777			AAEL002777-RA
AAEL025184			AAEL025184-RA
AAEL026074			AAEL026074-RA
AAEL026074			AAEL026074-RB
AAEL026074			AAEL026074-RC
AAEL008193			AAEL008193-RA
AAEL004107	nucleoside diphosphate kinase, putative [Source:VB Community Annotation]		AAEL004107-RA
AAEL023188			AAEL023188-RA
AAEL021402			AAEL021402-RA
AAEL007970			AAEL007970-RA
AAEL008638	cytochrome P450 [Source:VB Community Annotation]	CYP49A1	AAEL008638-RA
AAEL003841	defensin anti-microbial peptide [Source:VB Community Annotation]	DEFA	AAEL003841-RB
AAEL025368			AAEL025368-RA
AAEL025368			AAEL025368-RB
AAEL025368			AAEL025368-RC
AAEL009650			AAEL009650-RC
AAEL004902	ras-related protein Rab-2A, putative [Source:VB Community Annotation]		AAEL004902-RA
